Ticket No,Request ID,RequestorSeniority,FiledAgainst,TicketType,Severity,Priority,Max Day
9069,1680,2 - Regular,Access/Login,Req,2 - Normal,2 - Medium,1.0
38639,172,2 - Regular,System,Request,2 - Normal,1 - Low,0.0
15273,1957,2 - Regular,Systems,Request,2 - Normal,High Priority,8.0
29794,252,3 - Senior,,Request,2 - Normal,High Priority,0.0
37613,1699,3 - Senior,Software,Request,2 - Normal,3 - High,4.0
19102,815,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
5560,1636,4 - Management,Access/Login,Request,2 - Normal,3 - High,0.0
36119,356,2 - Regular,,Request,2 - Normal,,10.0
7255,1606,4 - Management,Access/Login,Request,2 - Normal,3 - High,0.0
34557,740,2 - Regular,Systems,,Unknown,2 - Medium,
46823,1691,1 - Junior,Access/Login,Request,2 - Normal,,0.0
6209,1007,3 - Senior,Software,Request,2 - Normal,,5.0
44495,1236,1 - Junior,Systems,Issue,1 - Minor,1 - Low,3.0
27541,1883,2 - Regular,,Issue,2 - Normal,0 - Unassigned,
36680,219,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,8.0
33951,453,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,5.0
46847,263,3 - Senior,Access/Login,Request,,0 - Unassigned,0.0
49434,1280,4 - Management,Systems,Request,2 - Normal,3 - High,22.0
3770,1973,2 - Regular,Software,,2 - Normal,2 - Medium,2.0
32909,350,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,7.0
3099,1298,,Systems,,2 - Normal,0 - Unassigned,31.0
32580,1100,2 - Regular,Systems,,2 - Normal,1 - Low,19.0
19229,1528,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,16.0
16714,1809,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,1.0
31349,1075,1 - Junior,Software,Request,2 - Normal,High Priority,11.0
27551,745,,Software,Request,2 - Normal,3 - High,3.0
42219,1757,1 - Junior,Software,Request,2 - Normal,,7.0
41877,891,1 - Junior,Systems,Issue,2 - Normal,1 - Low,12.0
22223,770,2 - Regular,Software,Request,2 - Normal,1 - Low,8.0
20083,1805,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
36248,992,1 - Junior,Software,Issue,3 - Major,3 - High,0.0
49505,742,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,
46418,496,2 - Regular,Access/Login,Request,4 - Critical,2 - Medium,
26726,327,,Systems,Request,2 - Normal,3 - High,5.0
10201,1268,2 - Regular,System,Issue,2 - Normal,2 - Medium,0.0
47384,1715,,Access/Login,Request,2 - Normal,,0.0
45231,271,2 - Regular,Systems,Request,2 - Normal,2 - Medium,294.0
26717,1435,3 - Senior,,Issue,2 - Normal,0 - Unassigned,21.0
20639,1351,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,15.0
39893,876,2 - Regular,Access/Login,Request,2 - Normal,3 - High,
39888,1231,4 - Management,Software,Request,2 - Normal,3 - High,5.0
40704,1479,2 - Regular,Software,Request,Unknown,1 - Low,
9600,1500,4 - Management,Systems,,2 - Normal,3 - High,5.0
42965,249,,Access/Login,Request,2 - Normal,1 - Low,256.0
31927,1784,4 - Management,Hardware,,,0 - Unassigned,12.0
46809,550,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
31116,932,4 - Management,Systems,Request,,3 - High,5.0
23679,1916,4 - Management,System,Req,2 - Normal,3 - High,
48769,562,3 - Senior,Hardware,Request,2 - Normal,3 - High,22.0
33376,418,4 - Management,Systems,Issue,3 - Major,,4.0
3512,1871,4 - Management,Access/Login,Request,2 - Normal,3 - High,0.0
8043,1793,1 - Junior,Systems,Request,2 - Normal,High Priority,18.0
31351,1545,,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
46799,267,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
2222,787,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7.0
30705,1381,,Systems,Issue,2 - Normal,3 - High,
35085,1480,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,2.0
34074,241,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0.0
39823,1045,4 - Management,,Issue,2 - Normal,0 - Unassigned,0.0
29871,2000,2 - Regular,Software,Request,2 - Normal,,13.0
9476,1148,2 - Regular,Systems,Issue,2 - Normal,3 - High,199.0
9842,1952,,Hardware,Issue,2 - Normal,,15.0
7694,1576,2 - Regular,,Request,2 - Normal,3 - High,
33118,1102,,Systems,Request,2 - Normal,0 - Unassigned,15.0
38063,236,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,3.0
32693,1247,3 - Senior,Systems,Request,2 - Normal,3 - High,5.0
16042,785,1 - Junior,Hardware,,2 - Normal,2 - Medium,6.0
24731,1510,3 - Senior,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
20806,1049,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
42627,1696,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,
30883,707,2 - Regular,Systems,Request,2 - Normal,3 - High,6.0
40447,694,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
49159,1856,2 - Regular,Systems,Request,2 - Normal,1 - Low,5.0
12209,1727,1 - Junior,Software,Issue,2 - Normal,3 - High,2.0
11469,1432,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,176.0
37476,1012,,Systems,Request,2 - Normal,2 - Medium,21.0
27855,576,3 - Senior,Systems,,2 - Normal,1 - Low,22.0
22320,318,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
33966,548,4 - Management,Systems,Request,2 - Normal,3 - High,15.0
44887,698,4 - Management,Hardware,Request,2 - Normal,,11.0
47076,426,2 - Regular,Systems,Issue,Unknown,0 - Unassigned,3.0
46377,1293,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0.0
7604,469,2 - Regular,Software,Request,Unknown,1 - Low,7.0
11826,917,4 - Management,Access/Login,Request,2 - Normal,High Priority,0.0
26770,161,2 - Regular,Software,Request,,,7.0
48607,223,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,2.0
41758,1702,4 - Management,Hardware,,2 - Normal,3 - High,5.0
6921,902,4 - Management,Systems,Issue,2 - Normal,0 - Unassigned,1.0
30506,408,4 - Management,Systems,Issue,2 - Normal,3 - High,1.0
32813,1207,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0.0
6866,1075,1 - Junior,Software,Request,,0 - Unassigned,3.0
23270,1574,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,2.0
20691,901,4 - Management,,Issue,3 - Major,0 - Unassigned,0.0
36874,745,4 - Management,,Issue,2 - Normal,0 - Unassigned,1.0
23055,419,4 - Management,Software,Issue,2 - Normal,3 - High,8.0
11415,1281,2 - Regular,Systems,Request,2 - Normal,High Priority,5.0
4996,1407,4 - Management,Access/Login,Request,2 - Normal,3 - High,-1.0
33767,1291,,Access/Login,Issue,2 - Normal,1 - Low,
16594,1869,,Systems,Req,,,3.0
20798,1394,2 - Regular,Hardware,,2 - Normal,,11.0
38917,1881,2 - Regular,Hardware,Request,,0 - Unassigned,31.0
44482,1007,3 - Senior,Systems,Request,,0 - Unassigned,-1.0
34616,391,3 - Senior,Hardware,Request,2 - Normal,3 - High,28.0
27596,315,2 - Regular,Systems,Request,2 - Normal,3 - High,5.0
16588,643,1 - Junior,Hardware,Issue,2 - Normal,3 - High,15.0
7049,84,2 - Regular,System,,2 - Normal,0 - Unassigned,14.0
13236,1662,3 - Senior,Systems,Issue,2 - Normal,1 - Low,2.0
22337,1596,1 - Junior,Systems,,,2 - Medium,3.0
17865,1239,2 - Regular,Systems,Request,2 - Normal,2 - Medium,18.0
24206,433,1 - Junior,Systems,Request,2 - Normal,1 - Low,6.0
18359,1832,3 - Senior,,Request,2 - Normal,,10.0
6515,1698,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,1.0
10417,1439,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,1.0
18347,1167,2 - Regular,Access/Login,Issue,2 - Normal,,0.0
5305,675,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,11.0
33088,1451,1 - Junior,Systems,Request,2 - Normal,2 - Medium,5.0
40083,853,2 - Regular,Systems,Request,2 - Normal,1 - Low,15.0
5426,1612,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1.0
45728,1799,4 - Management,Access/Login,Request,2 - Normal,3 - High,1.0
25572,1139,3 - Senior,Systems,Request,2 - Normal,3 - High,9.0
40801,1156,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5.0
3824,1811,1 - Junior,Systems,Request,2 - Normal,1 - Low,7.0
31775,1557,2 - Regular,,Request,2 - Normal,2 - Medium,0.0
20830,765,2 - Regular,Software,Request,2 - Normal,3 - High,4.0
46103,147,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6.0
24385,568,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
43214,404,2 - Regular,Systems,Request,2 - Normal,2 - Medium,9.0
6388,1140,2 - Regular,System,Request,2 - Normal,3 - High,12.0
4681,664,2 - Regular,Systems,Request,3 - Major,0 - Unassigned,6.0
8478,1647,1 - Junior,Systems,Request,2 - Normal,1 - Low,8.0
32387,1066,4 - Management,Software,Request,2 - Normal,3 - High,3.0
49141,902,4 - Management,Software,Issue,2 - Normal,0 - Unassigned,-1.0
28407,1410,2 - Regular,Software,Request,2 - Normal,,17.0
11980,186,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0.0
720,1983,1 - Junior,Software,Request,3 - Major,,
17866,1148,2 - Regular,Access/Login,Request,2 - Normal,,214.0
46342,870,3 - Senior,Systems,Request,3 - Major,3 - High,16.0
4010,940,,Systems,Request,2 - Normal,3 - High,16.0
16286,9,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,0.0
6482,851,1 - Junior,Access/Login,,2 - Normal,,0.0
25312,742,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0.0
47347,222,1 - Junior,Hardware,Issue,2 - Normal,2 - Medium,15.0
32798,1868,2 - Regular,Systems,Request,2 - Normal,,5.0
24864,1288,2 - Regular,,Request,2 - Normal,2 - Medium,0.0
28421,1516,2 - Regular,Access/Login,Req,2 - Normal,3 - High,0.0
10897,1913,2 - Regular,Software,Request,,2 - Medium,14.0
345,1678,4 - Management,Software,Request,,3 - High,5.0
39530,1655,3 - Senior,,Request,2 - Normal,2 - Medium,5.0
30891,1832,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5.0
31549,447,3 - Senior,,Request,2 - Normal,,3.0
31188,590,,Access/Login,Request,1 - Minor,3 - High,1.0
18048,1997,2 - Regular,Systems,Request,2 - Normal,,23.0
32834,1771,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0.0
49148,1024,2 - Regular,,Request,2 - Normal,3 - High,15.0
6270,1974,2 - Regular,Systems,Request,2 - Normal,2 - Medium,17.0
32065,1112,2 - Regular,Access/Login,Request,,,0.0
32558,1915,3 - Senior,Access/Login,,Unknown,2 - Medium,0.0
40635,993,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,3.0
21810,710,3 - Senior,Software,Issue,2 - Normal,3 - High,1.0
1300,1553,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,10.0
11271,1168,2 - Regular,,Req,2 - Normal,3 - High,7.0
42801,423,4 - Management,Systems,Issue,1 - Minor,0 - Unassigned,6.0
40748,1735,1 - Junior,Hardware,Issue,,High Priority,17.0
26449,918,1 - Junior,,Request,2 - Normal,2 - Medium,4.0
23989,463,2 - Regular,,Issue,2 - Normal,3 - High,3.0
2223,213,1 - Junior,Systems,,2 - Normal,2 - Medium,16.0
43225,1687,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0.0
9607,1125,2 - Regular,Systems,Request,2 - Normal,High Priority,13.0
23123,223,2 - Regular,Hardware,Request,2 - Normal,,34.0
31600,1630,,Systems,Request,2 - Normal,1 - Low,5.0
30101,551,4 - Management,Software,Request,Unknown,High Priority,3.0
32530,501,1 - Junior,Access/Login,,2 - Normal,1 - Low,1.0
32847,322,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0.0
6312,690,4 - Management,,Request,2 - Normal,3 - High,
47816,1743,3 - Senior,Software,Issue,2 - Normal,3 - High,2.0
30768,568,3 - Senior,,Issue,2 - Normal,0 - Unassigned,2.0
28384,923,,Hardware,,2 - Normal,High Priority,11.0
691,273,4 - Management,Software,Request,2 - Normal,0 - Unassigned,2.0
25342,1071,4 - Management,Systems,Issue,2 - Normal,3 - High,4.0
13120,33,4 - Management,Systems,,2 - Normal,3 - High,7.0
26945,1330,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0.0
30237,1053,2 - Regular,Systems,Request,2 - Normal,High Priority,147.0
15035,1607,1 - Junior,Systems,Issue,2 - Normal,1 - Low,13.0
44252,1199,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,1.0
42475,1098,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,2.0
44657,1526,3 - Senior,Hardware,,3 - Major,0 - Unassigned,
30909,627,1 - Junior,Access/Login,,2 - Normal,0 - Unassigned,127.0
3775,1095,2 - Regular,Software,Request,2 - Normal,,7.0
7767,1942,2 - Regular,Systems,Request,,3 - High,6.0
2950,638,2 - Regular,Access/Login,,2 - Normal,1 - Low,1.0
31032,686,1 - Junior,Software,Request,,1 - Low,194.0
1669,627,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0.0
12878,123,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,35.0
39763,1519,3 - Senior,Software,,2 - Normal,,3.0
47536,810,3 - Senior,Hardware,Request,2 - Normal,3 - High,-1.0
10986,833,3 - Senior,Systems,Request,2 - Normal,3 - High,9.0
5762,1607,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,2.0
22449,1340,2 - Regular,Systems,Request,2 - Normal,,27.0
7036,1699,3 - Senior,,Request,2 - Normal,,16.0
6246,1077,4 - Management,Software,Req,2 - Normal,3 - High,3.0
15924,840,2 - Regular,Systems,Request,2 - Normal,2 - Medium,17.0
11051,1641,2 - Regular,Access/Login,Issue,,1 - Low,1.0
3306,823,1 - Junior,Software,Request,1 - Minor,1 - Low,3.0
12181,251,,Software,Request,2 - Normal,,4.0
43843,587,1 - Junior,Access/Login,,2 - Normal,1 - Low,2.0
31462,1874,1 - Junior,Systems,Request,2 - Normal,3 - High,-1.0
38343,586,4 - Management,Systems,,2 - Normal,2 - Medium,5.0
44785,1505,2 - Regular,Access/Login,,2 - Normal,1 - Low,0.0
3520,1291,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,5.0
37309,1775,2 - Regular,Systems,Request,2 - Normal,2 - Medium,10.0
975,1572,2 - Regular,Software,Request,2 - Normal,High Priority,11.0
49653,297,1 - Junior,Access/Login,Issue,,High Priority,
14939,1167,2 - Regular,Software,Issue,2 - Normal,2 - Medium,5.0
36585,948,1 - Junior,Software,Request,2 - Normal,1 - Low,11.0
48984,710,3 - Senior,Access/Login,,,3 - High,0.0
11226,596,4 - Management,Access/Login,Issue,1 - Minor,0 - Unassigned,0.0
37647,1271,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,16.0
47836,1856,2 - Regular,Access/Login,,2 - Normal,3 - High,0.0
39034,281,2 - Regular,Systems,Request,2 - Normal,2 - Medium,18.0
2509,131,2 - Regular,Software,Request,3 - Major,3 - High,3.0
21992,115,2 - Regular,System,Issue,1 - Minor,3 - High,3.0
8722,164,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,10.0
41375,102,2 - Regular,Software,,2 - Normal,0 - Unassigned,10.0
36322,819,3 - Senior,System,Request,2 - Normal,0 - Unassigned,
17795,616,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0.0
28987,558,1 - Junior,Hardware,Request,,1 - Low,18.0
47310,1576,2 - Regular,Hardware,Request,2 - Normal,1 - Low,29.0
43359,1736,1 - Junior,Systems,Request,2 - Normal,1 - Low,7.0
42449,720,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,21.0
38442,318,1 - Junior,Systems,Request,2 - Normal,1 - Low,19.0
45099,1140,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,5.0
4830,1360,4 - Management,Systems,Request,1 - Minor,,9.0
33881,674,3 - Senior,Software,Issue,2 - Normal,2 - Medium,1.0
38183,1303,2 - Regular,,Issue,2 - Normal,1 - Low,4.0
20699,58,1 - Junior,Software,Issue,2 - Normal,1 - Low,2.0
4496,1771,3 - Senior,Systems,Request,2 - Normal,3 - High,7.0
31745,1608,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,6.0
49256,1786,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
39599,243,2 - Regular,Systems,Issue,2 - Normal,1 - Low,3.0
26122,766,3 - Senior,Software,Issue,2 - Normal,3 - High,
37935,1911,3 - Senior,Systems,,2 - Normal,0 - Unassigned,7.0
37631,1793,1 - Junior,Systems,Issue,2 - Normal,1 - Low,6.0
28135,1300,2 - Regular,Access/Login,Request,2 - Normal,High Priority,0.0
18692,51,3 - Senior,,Request,2 - Normal,0 - Unassigned,26.0
12951,1259,1 - Junior,Hardware,Request,,1 - Low,25.0
33640,1953,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,2.0
5630,1213,1 - Junior,Software,Request,2 - Normal,,13.0
6627,1059,2 - Regular,Hardware,,2 - Normal,1 - Low,8.0
34306,1644,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
42994,468,1 - Junior,Systems,Issue,2 - Normal,2 - Medium,6.0
3207,734,1 - Junior,Systems,Request,2 - Normal,1 - Low,15.0
21370,1646,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0.0
49667,491,1 - Junior,Access/Login,Request,2 - Normal,3 - High,0.0
48128,1454,3 - Senior,Systems,Request,,3 - High,7.0
19173,704,2 - Regular,,Request,Unknown,High Priority,11.0
2364,530,3 - Senior,Systems,Request,,2 - Medium,22.0
47474,1174,4 - Management,,Request,,2 - Medium,14.0
40310,1231,4 - Management,Systems,Request,2 - Normal,3 - High,5.0
34422,1086,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5.0
11909,1663,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5.0
14064,1073,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5.0
38384,1302,1 - Junior,Systems,Request,2 - Normal,1 - Low,19.0
23675,621,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,8.0
27442,365,3 - Senior,Software,Issue,2 - Normal,0 - Unassigned,6.0
11067,1816,3 - Senior,Software,Request,2 - Normal,3 - High,10.0
31712,174,4 - Management,Software,Request,2 - Normal,0 - Unassigned,4.0
3456,64,2 - Regular,Access/Login,Issue,2 - Normal,,0.0
17492,197,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,1.0
7744,542,3 - Senior,Access/Login,Req,,0 - Unassigned,0.0
8627,1247,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
12155,236,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,3.0
48384,1683,2 - Regular,Software,Issue,2 - Normal,3 - High,2.0
23034,896,2 - Regular,Hardware,Request,2 - Normal,3 - High,12.0
35827,1600,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,
39228,909,2 - Regular,Systems,Request,2 - Normal,1 - Low,15.0
4596,178,2 - Regular,Systems,Request,2 - Normal,1 - Low,21.0
34279,1337,2 - Regular,System,Req,2 - Normal,3 - High,2.0
25381,1567,1 - Junior,System,Request,2 - Normal,2 - Medium,6.0
16622,822,2 - Regular,Systems,Issue,3 - Major,0 - Unassigned,4.0
14787,400,1 - Junior,Access/Login,Request,2 - Normal,3 - High,0.0
24060,1069,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,14.0
7878,962,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,2.0
47952,1634,2 - Regular,Systems,Issue,2 - Normal,1 - Low,7.0
5792,1410,2 - Regular,System,Request,2 - Normal,3 - High,22.0
37498,723,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
15514,1442,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
34885,861,4 - Management,Systems,Issue,2 - Normal,3 - High,2.0
49181,1443,2 - Regular,Systems,Request,3 - Major,3 - High,5.0
43716,1974,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,36.0
7596,1259,1 - Junior,Software,Request,Unknown,2 - Medium,16.0
49096,1793,1 - Junior,Software,,2 - Normal,0 - Unassigned,
18498,38,4 - Management,Systems,Issue,2 - Normal,3 - High,5.0
6611,540,2 - Regular,System,Request,2 - Normal,,5.0
40258,442,,Systems,Request,3 - Major,3 - High,5.0
31706,432,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,2.0
26700,267,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,7.0
21566,1895,1 - Junior,,Request,2 - Normal,3 - High,2.0
48994,1074,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,16.0
6684,40,4 - Management,Systems,Request,,3 - High,7.0
31237,1185,2 - Regular,Systems,Issue,2 - Normal,3 - High,4.0
26877,1939,1 - Junior,Software,Request,2 - Normal,1 - Low,11.0
137,346,3 - Senior,Software,Request,,2 - Medium,
23602,1166,1 - Junior,Systems,Request,2 - Normal,2 - Medium,21.0
38325,1802,2 - Regular,Software,Request,2 - Normal,1 - Low,8.0
7491,1797,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,14.0
11918,1636,4 - Management,Systems,Request,2 - Normal,3 - High,7.0
30729,1112,2 - Regular,System,Request,2 - Normal,0 - Unassigned,9.0
19929,1173,4 - Management,Systems,Request,2 - Normal,3 - High,12.0
44964,593,4 - Management,Access/Login,Request,Unknown,2 - Medium,1.0
4601,249,1 - Junior,Software,Request,2 - Normal,1 - Low,
35798,691,2 - Regular,Access/Login,Request,2 - Normal,High Priority,0.0
47332,441,2 - Regular,,Request,2 - Normal,3 - High,6.0
29451,969,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,1.0
38922,1846,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7.0
18542,1314,2 - Regular,Access/Login,Request,2 - Normal,High Priority,1.0
39435,1623,2 - Regular,Systems,Request,,0 - Unassigned,8.0
12582,1714,3 - Senior,System,Issue,2 - Normal,3 - High,1.0
17382,397,4 - Management,Systems,Request,2 - Normal,3 - High,24.0
33766,1339,1 - Junior,Hardware,Req,2 - Normal,0 - Unassigned,21.0
2376,1743,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,14.0
5233,1315,3 - Senior,,Request,2 - Normal,2 - Medium,5.0
29179,1670,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,3.0
17391,1074,2 - Regular,Access/Login,Request,2 - Normal,,0.0
21938,1470,2 - Regular,Systems,Request,2 - Normal,1 - Low,15.0
48391,352,2 - Regular,Systems,Issue,2 - Normal,3 - High,11.0
46841,563,3 - Senior,Systems,Issue,2 - Normal,1 - Low,10.0
23749,92,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
26277,1549,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,
2822,1128,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,1.0
26177,1274,3 - Senior,System,Request,2 - Normal,0 - Unassigned,6.0
1462,1208,4 - Management,Systems,Issue,2 - Normal,3 - High,1.0
13897,1957,2 - Regular,Hardware,Request,Unknown,0 - Unassigned,26.0
40739,633,4 - Management,Software,Request,2 - Normal,0 - Unassigned,5.0
42726,899,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
12867,890,2 - Regular,System,Request,2 - Normal,1 - Low,7.0
45462,1495,2 - Regular,Access/Login,,2 - Normal,0 - Unassigned,0.0
43772,3,2 - Regular,Systems,,2 - Normal,2 - Medium,1.0
4250,360,1 - Junior,Access/Login,Request,2 - Normal,,0.0
28821,315,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,13.0
35693,1875,3 - Senior,Systems,Issue,2 - Normal,3 - High,1.0
11890,881,2 - Regular,Hardware,Issue,1 - Minor,,210.0
44907,1758,2 - Regular,Access/Login,,,0 - Unassigned,0.0
29082,95,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
10606,1622,,Systems,Request,2 - Normal,2 - Medium,6.0
11721,1931,,,,3 - Major,0 - Unassigned,20.0
245,1471,3 - Senior,System,Issue,2 - Normal,3 - High,1.0
5115,437,,Access/Login,Req,2 - Normal,0 - Unassigned,0.0
24910,678,3 - Senior,Hardware,Request,2 - Normal,1 - Low,10.0
19133,342,4 - Management,Systems,Request,2 - Normal,High Priority,8.0
4320,43,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0.0
42807,1814,1 - Junior,Systems,Issue,,3 - High,4.0
44184,127,4 - Management,Access/Login,Request,2 - Normal,3 - High,0.0
48309,1468,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,13.0
45261,527,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,
43185,163,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
29386,1827,,Systems,Issue,2 - Normal,1 - Low,11.0
47333,715,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,155.0
43506,1284,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,
4914,354,2 - Regular,System,Issue,2 - Normal,3 - High,3.0
16873,189,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,26.0
30581,1445,2 - Regular,Access/Login,Request,2 - Normal,3 - High,1.0
49361,735,2 - Regular,Access/Login,Issue,4 - Critical,,0.0
35365,651,4 - Management,Systems,Request,4 - Critical,2 - Medium,7.0
5459,1576,2 - Regular,Systems,,2 - Normal,,8.0
27078,213,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,251.0
48790,1443,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,0.0
7095,1919,2 - Regular,System,Issue,2 - Normal,1 - Low,0.0
45217,1952,1 - Junior,Software,Issue,1 - Minor,1 - Low,0.0
40550,697,4 - Management,Systems,Request,,2 - Medium,9.0
42643,1476,1 - Junior,Hardware,Request,2 - Normal,1 - Low,33.0
20988,1660,,Systems,Request,2 - Normal,0 - Unassigned,6.0
41362,539,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,12.0
44536,551,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,15.0
46595,299,2 - Regular,,Request,1 - Minor,2 - Medium,
11566,1951,2 - Regular,Hardware,Request,2 - Normal,3 - High,
17768,66,2 - Regular,Systems,Request,2 - Normal,1 - Low,13.0
28527,1120,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0.0
43644,1791,4 - Management,Hardware,Issue,2 - Normal,3 - High,10.0
25553,1597,3 - Senior,,,2 - Normal,3 - High,1.0
24315,826,1 - Junior,,Request,3 - Major,1 - Low,0.0
44967,769,3 - Senior,Systems,Req,2 - Normal,3 - High,18.0
29256,990,3 - Senior,Software,Request,2 - Normal,3 - High,3.0
6961,1333,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,0.0
30584,1238,1 - Junior,Software,Req,,3 - High,-1.0
11990,9,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,7.0
17349,455,,Software,Issue,,0 - Unassigned,3.0
35497,1042,1 - Junior,Systems,Issue,,2 - Medium,2.0
40501,1059,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
37056,636,3 - Senior,Access/Login,,2 - Normal,3 - High,
33621,1170,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,7.0
18731,617,1 - Junior,Software,Request,2 - Normal,2 - Medium,3.0
39177,1972,2 - Regular,Access/Login,Request,,3 - High,0.0
